TF	M1	M2	M3	M4	M5	M6	M7
GATA1	9.24E-01	0.00E+00	0.00E+00	0.00E+00	6.78E-02	0.00E+00	0.00E+00
GATA2	5.68E-01	1.39E-01	0.00E+00	0.00E+00	2.14E-01	7.65E-02	0.00E+00
GATA3	0.00E+00	0.00E+00	0.00E+00	9.88E-01	0.00E+00	0.00E+00	0.00E+00
GFI1	0.00E+00	1.99E-45	0.00E+00	9.89E-01	0.00E+00	0.00E+00	0.00E+00
GFI1B	5.27E-01	2.14E-63	0.00E+00	0.00E+00	4.67E-01	0.00E+00	0.00E+00
GLI1	0.00E+00	0.00E+00	1.17E-01	0.00E+00	0.00E+00	0.00E+00	8.72E-01
GLI2	0.00E+00	0.00E+00	1.05E-01	0.00E+00	0.00E+00	0.00E+00	8.84E-01
GLI3	0.00E+00	0.00E+00	1.28E-01	0.00E+00	0.00E+00	0.00E+00	8.61E-01
GMEB1	3.06E-90	0.00E+00	2.07E-01	0.00E+00	0.00E+00	8.12E-02	7.02E-01
GMEB2	6.05E-02	0.00E+00	1.86E-01	1.32E-01	2.04E-01	4.08E-02	3.74E-01
GRHL1	6.22E-01	0.00E+00	0.00E+00	0.00E+00	3.67E-01	0.00E+00	4.04E-05
GRHL2	0.00E+00	0.00E+00	4.21E-01	0.00E+00	0.00E+00	0.00E+00	5.62E-01
HBP1	2.14E-28	4.18E-01	0.00E+00	3.82E-01	0.00E+00	1.83E-01	2.42E-03
HDX	7.67E-21	7.53E-01	0.00E+00	0.00E+00	0.00E+00	2.33E-01	3.42E-61
HES1	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.53E-01	3.87E-02	1.76E-07
HESX1	0.00E+00	0.00E+00	9.89E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
HEY1	0.00E+00	0.00E+00	0.00E+00	5.35E-01	4.51E-01	2.96E-13	9.85E-03
HEY2	0.00E+00	0.00E+00	3.32E-01	0.00E+00	0.00E+00	0.00E+00	6.64E-01
HIF1A	0.00E+00	0.00E+00	2.72E-02	4.23E-01	3.66E-01	9.77E-02	8.15E-02
HINFP	8.73E-02	0.00E+00	0.00E+00	2.78E-01	3.03E-01	3.21E-01	4.91E-03
HMBOX1	4.63E-01	2.01E-66	0.00E+00	2.67E-01	2.61E-01	0.00E+00	1.69E-03
HMX2	0.00E+00	0.00E+00	9.92E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
HNF4G	0.00E+00	0.00E+00	3.35E-01	0.00E+00	0.00E+00	0.00E+00	6.58E-01
HOXA11	2.70E-21	9.00E-01	0.00E+00	9.34E-02	0.00E+00	0.00E+00	3.09E-04
HOXA13	1.79E-20	8.27E-01	0.00E+00	0.00E+00	0.00E+00	1.68E-01	3.77E-71
HOXA7	1.99E-20	5.45E-01	0.00E+00	0.00E+00	0.00E+00	4.50E-01	0.00E+00
HOXB2	2.98E-01	2.49E-56	0.00E+00	3.77E-01	3.22E-01	0.00E+00	0.00E+00
HOXB3	4.52E-01	8.20E-57	0.00E+00	0.00E+00	5.42E-01	0.00E+00	0.00E+00
HOXB7	4.59E-01	3.09E-57	0.00E+00	0.00E+00	5.36E-01	0.00E+00	0.00E+00
HOXC10	6.09E-14	9.94E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.48E-04
HOXD10	2.95E-14	9.94E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.68E-04
HOXD11	3.02E-16	9.94E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.32E-04
HOXD9	2.96E-14	9.94E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.93E-04
HSF1	0.00E+00	1.50E-51	0.00E+00	9.73E-01	0.00E+00	0.00E+00	7.99E-03
HSF2	0.00E+00	7.38E-50	0.00E+00	9.78E-01	0.00E+00	0.00E+00	7.10E-03
HSF4	0.00E+00	4.10E-53	0.00E+00	9.78E-01	0.00E+00	0.00E+00	7.83E-03
ID1	2.91E-02	2.05E-08	8.37E-02	0.00E+00	2.87E-01	4.43E-01	1.53E-01
ID2	0.00E+00	0.00E+00	0.00E+00	9.74E-01	0.00E+00	0.00E+00	1.73E-02
ID4	0.00E+00	0.00E+00	3.31E-01	0.00E+00	0.00E+00	0.00E+00	6.64E-01
IKZF1	2.29E-01	0.00E+00	0.00E+00	4.02E-01	3.62E-01	4.05E-19	3.91E-03
IKZF2	0.00E+00	2.30E-01	0.00E+00	5.56E-01	0.00E+00	2.08E-01	0.00E+00
IRF1	7.79E-02	1.75E-01	0.00E+00	4.55E-01	6.96E-02	2.18E-01	0.00E+00
IRF2	0.00E+00	5.17E-01	8.61E-02	1.75E-01	0.00E+00	1.58E-01	6.04E-02
IRF3	0.00E+00	1.93E-01	1.52E-01	4.76E-03	3.40E-02	4.19E-01	1.92E-01
IRF4	0.00E+00	0.00E+00	0.00E+00	9.80E-01	0.00E+00	0.00E+00	0.00E+00
IRF5	0.00E+00	0.00E+00	0.00E+00	9.77E-01	0.00E+00	0.00E+00	4.78E-03
IRF7	9.37E-32	5.28E-01	0.00E+00	2.80E-01	0.00E+00	1.79E-01	1.09E-14
IRF8	0.00E+00	0.00E+00	0.00E+00	9.82E-01	0.00E+00	0.00E+00	0.00E+00
IRX1	1.70E-28	8.52E-01	0.00E+00	0.00E+00	0.00E+00	1.39E-01	6.94E-53
IRX2	0.00E+00	0.00E+00	9.75E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
IRX3	1.95E-30	8.52E-01	0.00E+00	0.00E+00	0.00E+00	1.39E-01	8.41E-53
IRX5	3.23E-31	8.51E-01	0.00E+00	0.00E+00	0.00E+00	1.40E-01	2.35E-52
ISL1	0.00E+00	0.00E+00	9.92E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
ISL2	3.97E-01	2.15E-01	0.00E+00	0.00E+00	2.65E-01	1.19E-01	0.00E+00
JDP2	0.00E+00	0.00E+00	2.43E-01	3.50E-01	0.00E+00	0.00E+00	4.05E-01
JUN	5.26E-01	3.80E-01	0.00E+00	0.00E+00	4.93E-02	4.16E-02	4.11E-05
JUNB	4.92E-01	3.71E-01	0.00E+00	0.00E+00	6.92E-02	6.50E-02	1.79E-12
JUND	5.83E-01	2.71E-01	1.82E-02	0.00E+00	5.39E-02	5.12E-02	1.88E-02
KLF1	5.35E-01	0.00E+00	0.00E+00	0.00E+00	4.60E-01	1.67E-71	1.15E-13
KLF10	0.00E+00	0.00E+00	0.00E+00	6.36E-01	1.47E-01	1.95E-01	1.28E-02
KLF11	5.37E-02	0.00E+00	0.00E+00	0.00E+00	4.40E-01	5.01E-01	6.02E-24
KLF12	0.00E+00	2.81E-02	1.91E-01	3.20E-01	1.22E-26	1.74E-01	2.84E-01
KLF13	0.00E+00	4.87E-15	0.00E+00	4.52E-01	0.00E+00	5.38E-01	5.36E-03
KLF16	0.00E+00	0.00E+00	3.19E-01	0.00E+00	0.00E+00	0.00E+00	6.77E-01
KLF3	0.00E+00	2.89E-02	4.28E-165	3.74E-01	4.14E-01	1.76E-01	3.76E-03
KLF4	5.62E-21	1.54E-01	0.00E+00	0.00E+00	0.00E+00	8.40E-01	0.00E+00
